state_abbr,state_fips,county_fips,county_name,tract_code,stcotr_fips,stpl_fips,city_name,metric_name,metric_number,group_name,group_number,num,denom,est,lci,uci,data_yr_type,date_export,geo_level,version,suggested_citation
IL,17,31,Cook County,63400,17031063400,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,NA,NA,NA,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,70101,17031070101,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,NA,NA,NA,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,70102,17031070102,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,NA,NA,NA,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,70103,17031070103,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,NA,NA,NA,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,70200,17031070200,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,71.6,68.3,74.9,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,70300,17031070300,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,80.9,75.4,86.4,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,70400,17031070400,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,80.7,75.9,85.5,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,70500,17031070500,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,74.3,72,76.6,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,70600,17031070600,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,82,78,86,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,70700,17031070700,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,81.1,77.4,84.8,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
