Layer,Name,GEOID,HDX_2015-2019,HDX_2015-2019_moe
Census tract,Tract 2801,17031280100,0.1,
Census tract,Tract 2804,17031280400,92.2,
Census tract,Tract 2808,17031280800,91.3,
Census tract,Tract 2809,17031280900,97.8,
Census tract,Tract 2819,17031281900,2.2,
Census tract,Tract 2827,17031282700,66.6,
Census tract,Tract 2828,17031282800,32.6,
Census tract,Tract 2831,17031283100,68.6,
Census tract,Tract 2832,17031283200,39.3,
Census tract,Tract 2838,17031283800,62.5,
Census tract,Tract 2909,17031290900,98.2,
Census tract,Tract 2912,17031291200,95.4,
Census tract,Tract 2916,17031291600,61.3,
Census tract,Tract 2922,17031292200,95.4,
Census tract,Tract 2924,17031292400,83.7,
Census tract,Tract 2925,17031292500,86.3,
Census tract,Tract 3005,17031300500,94.5,
Census tract,Tract 3006,17031300600,92.5,
Census tract,Tract 3007,17031300700,96.2,
Census tract,Tract 3008,17031300800,98.9,
Census tract,Tract 3009,17031300900,95.1,
Census tract,Tract 3011,17031301100,92.8,
Census tract,Tract 3012,17031301200,94.5,
Census tract,Tract 3016,17031301600,96.4,
Census tract,Tract 3017.01,17031301701,95.0,
Census tract,Tract 3017.02,17031301702,94.4,
Census tract,Tract 3018.01,17031301801,93.9,
Census tract,Tract 3018.02,17031301802,96.1,
Census tract,Tract 3018.03,17031301803,89.1,
Census tract,Tract 3102,17031310200,56.5,
Census tract,Tract 3103,17031310300,70.2,
Census tract,Tract 3104,17031310400,16.0,
Census tract,Tract 3105,17031310500,65.5,
Census tract,Tract 3106,17031310600,64.7,
Census tract,Tract 3107,17031310700,78.8,
Census tract,Tract 3108,17031310800,68.7,
Census tract,Tract 3109,17031310900,87.5,
Census tract,Tract 3201,17031320100,0.4,
Census tract,Tract 3204,17031320400,10.2,
Census tract,Tract 3206,17031320600,2.6,
Census tract,Tract 3301,17031330100,0.3,
Census tract,Tract 3302,17031330200,6.7,
Census tract,Tract 3403,17031340300,91.4,
Census tract,Tract 3404,17031340400,76.4,
Census tract,Tract 3405,17031340500,95.0,
Census tract,Tract 3406,17031340600,99.8,
Census tract,Tract 3501,17031350100,31.5,
Census tract,Tract 3504,17031350400,99.4,
Census tract,Tract 3510,17031351000,36.6,
Census tract,Tract 3511,17031351100,99.8,
Census tract,Tract 3514,17031351400,98.2,
Census tract,Tract 3515,17031351500,88.0,
Census tract,Tract 3602,17031360200,74.8,
Census tract,Tract 3801,17031380100,91.1,
Census tract,Tract 3802,17031380200,71.6,
Census tract,Tract 3805,17031380500,96.5,
Census tract,Tract 3807,17031380700,87.5,
Census tract,Tract 3812,17031381200,62.7,
Census tract,Tract 3814,17031381400,64.0,
Census tract,Tract 3815,17031381500,90.5,
Census tract,Tract 3818,17031381800,59.8,
Census tract,Tract 3819,17031381900,43.5,
Census tract,Tract 3901,17031390100,24.0,
Census tract,Tract 3902,17031390200,20.9,
Census tract,Tract 3903,17031390300,93.3,
Census tract,Tract 3904,17031390400,85.2,
Census tract,Tract 3905,17031390500,8.9,
Census tract,Tract 3906,17031390600,17.6,
Census tract,Tract 3907,17031390700,20.8,
Census tract,Tract 4003,17031400300,93.2,
Census tract,Tract 4004,17031400400,95.1,
Census tract,Tract 4005,17031400500,84.1,
Census tract,Tract 4008,17031400800,96.7,
Census tract,Tract 4101,17031410100,27.0,
Census tract,Tract 4102,17031410200,44.1,
Census tract,Tract 4105,17031410500,18.5,
Census tract,Tract 4106,17031410600,49.6,
Census tract,Tract 4107,17031410700,40.8,
Census tract,Tract 4108,17031410800,26.4,
Census tract,Tract 4109,17031410900,24.7,
Census tract,Tract 4110,17031411000,18.8,
Census tract,Tract 4111,17031411100,8.0,
